service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date                                                               
6074X,0,0,1,0,0,0,0,20251210,20251210                                                                                                                 
6075J,0,0,0,1,0,0,0,20251211,20251211                                                                                                                 
6076V,0,0,0,0,1,0,0,20251212,20251212                                                                                                                 
6077S,0,0,0,0,0,1,0,20251213,20251213                                                                                                                 
6078D,0,0,0,0,0,0,1,20251214,20251214                                                                                                                 
6079L,1,0,0,0,0,0,0,20251215,20251215                                                                                                                 
6080M,0,1,0,0,0,0,0,20251216,20251216                                                                                                                 
6081X,0,0,1,0,0,0,0,20251217,20251217                                                                                                                 
6082J,0,0,0,1,0,0,0,20251218,20251218                                                                                                                 
6083V,0,0,0,0,1,0,0,20251219,20251219                                                                                                                 
6084S,0,0,0,0,0,1,0,20251220,20251220                                                                                                                 
6155V,0,0,0,0,1,0,0,20251121,20251121                                                                                                                 
6156S,0,0,0,0,0,1,0,20251122,20251122                                                                                                                 
6157D,0,0,0,0,0,0,1,20251123,20251123                                                                                                                 
6158L,1,0,0,0,0,0,0,20251124,20251124                                                                                                                 
6159M,0,1,0,0,0,0,0,20251125,20251125                                                                                                                 
6160X,0,0,1,0,0,0,0,20251126,20251126                                                                                                                 
6161J,0,0,0,1,0,0,0,20251127,20251127                                                                                                                 
6162V,0,0,0,0,1,0,0,20251128,20251128                                                                                                                 
6163S,0,0,0,0,0,1,0,20251129,20251129                                                                                                                 
6164D,0,0,0,0,0,0,1,20251130,20251130                                                                                                                 
6165L,1,0,0,0,0,0,0,20251201,20251201                                                                                                                 
6166M,0,1,0,0,0,0,0,20251202,20251202                                                                                                                 
6167X,0,0,1,0,0,0,0,20251203,20251203                                                                                                                 
6168J,0,0,0,1,0,0,0,20251204,20251204                                                                                                                 
6169V,0,0,0,0,1,0,0,20251205,20251205                                                                                                                 
6170S,0,0,0,0,0,1,0,20251206,20251206                                                                                                                 
6171D,0,0,0,0,0,0,1,20251207,20251207                                                                                                                 
6172L,1,0,0,0,0,0,0,20251208,20251208                                                                                                                 
6173M,0,1,0,0,0,0,0,20251209,20251209                                                                                                                 
6174X,0,0,1,0,0,0,0,20251210,20251210                                                                                                                 
6175J,0,0,0,1,0,0,0,20251211,20251211                                                                                                                 
6176V,0,0,0,0,1,0,0,20251212,20251212                                                                                                                 
6177S,0,0,0,0,0,1,0,20251213,20251213                                                                                                                 
6178D,0,0,0,0,0,0,1,20251214,20251214                                                                                                                 
6179L,1,0,0,0,0,0,0,20251215,20251215                                                                                                                 
6180M,0,1,0,0,0,0,0,20251216,20251216                                                                                                                 
6181X,0,0,1,0,0,0,0,20251217,20251217                                                                                                                 
6182J,0,0,0,1,0,0,0,20251218,20251218                                                                                                                 
6183V,0,0,0,0,1,0,0,20251219,20251219                                                                                                                 
6184S,0,0,0,0,0,1,0,20251220,20251220                                                                                                                 
6255V,0,0,0,0,1,0,0,20251121,20251121                                                                                                                 
6256S,0,0,0,0,0,1,0,20251122,20251122                                                                                                                 
6257D,0,0,0,0,0,0,1,20251123,20251123                                                                                                                 
6258L,1,0,0,0,0,0,0,20251124,20251124                                                                                                                 
6259M,0,1,0,0,0,0,0,20251125,20251125                                                                                                                 
6260X,0,0,1,0,0,0,0,20251126,20251126                                                                                                                 
6261J,0,0,0,1,0,0,0,20251127,20251127                                                                                                                 
6262V,0,0,0,0,1,0,0,20251128,20251128                                                                                                                 
6263S,0,0,0,0,0,1,0,20251129,20251129                                                                                                                 
6264D,0,0,0,0,0,0,1,20251130,20251130                                                                                                                 
6265L,1,0,0,0,0,0,0,20251201,20251201                                                                                                                 
6266M,0,1,0,0,0,0,0,20251202,20251202                                                                                                                 
6267X,0,0,1,0,0,0,0,20251203,20251203                                                                                                                 
6268J,0,0,0,1,0,0,0,20251204,20251204                                                                                                                 
6269V,0,0,0,0,1,0,0,20251205,20251205                                                                                                                 
6270S,0,0,0,0,0,1,0,20251206,20251206                                                                                                                 
6271D,0,0,0,0,0,0,1,20251207,20251207                                                                                                                 
6272L,1,0,0,0,0,0,0,20251208,20251208                                                                                                                 
6273M,0,1,0,0,0,0,0,20251209,20251209                                                                                                                 
6274X,0,0,1,0,0,0,0,20251210,20251210                                                                                                                 
6275J,0,0,0,1,0,0,0,20251211,20251211                                                                                                                 
6276V,0,0,0,0,1,0,0,20251212,20251212                                                                                                                 
6277S,0,0,0,0,0,1,0,20251213,20251213                                                                                                                 
6278D,0,0,0,0,0,0,1,20251214,20251214                                                                                                                 
6279L,1,0,0,0,0,0,0,20251215,20251215                                                                                                                 
6280M,0,1,0,0,0,0,0,20251216,20251216                                                                                                                 
6281X,0,0,1,0,0,0,0,20251217,20251217                                                                                                                 
6282J,0,0,0,1,0,0,0,20251218,20251218                                                                                                                 
6283V,0,0,0,0,1,0,0,20251219,20251219                                                                                                                 
6284S,0,0,0,0,0,1,0,20251220,20251220                                                                                                                 
7055V,0,0,0,0,1,0,0,20251121,20251121                                                                                                                 
7056S,0,0,0,0,0,1,0,20251122,20251122                                                                                                                 
7057D,0,0,0,0,0,0,1,20251123,20251123                                                                                                                 
7058L,1,0,0,0,0,0,0,20251124,20251124                                                                                                                 
7059M,0,1,0,0,0,0,0,20251125,20251125                                                                                                                 
7060X,0,0,1,0,0,0,0,20251126,20251126                                                                                                                 
7061J,0,0,0,1,0,0,0,20251127,20251127                                                                                                                 
7062V,0,0,0,0,1,0,0,20251128,20251128                                                                                                                 
7063S,0,0,0,0,0,1,0,20251129,20251129                                                                                                                 
7064D,0,0,0,0,0,0,1,20251130,20251130                                                                                                                 
7065L,1,0,0,0,0,0,0,20251201,20251201                                                                                                                 
7066M,0,1,0,0,0,0,0,20251202,20251202                                                                                                                 
7067X,0,0,1,0,0,0,0,20251203,20251203                                                                                                                 
7068J,0,0,0,1,0,0,0,20251204,20251204                                                                                                                 
7069V,0,0,0,0,1,0,0,20251205,20251205                                                                                                                 
7070S,0,0,0,0,0,1,0,20251206,20251206                                                                                                                 
7071D,0,0,0,0,0,0,1,20251207,20251207                                                                                                                 
7072L,1,0,0,0,0,0,0,20251208,20251208                                                                                                                 
7073M,0,1,0,0,0,0,0,20251209,20251209                                                                                                                 
7074X,0,0,1,0,0,0,0,20251210,20251210                                                                                                                 
7075J,0,0,0,1,0,0,0,20251211,20251211                                                                                                                 
7076V,0,0,0,0,1,0,0,20251212,20251212                                                                                                                 
7077S,0,0,0,0,0,1,0,20251213,20251213                                                                                                                 
7078D,0,0,0,0,0,0,1,20251214,20251214                                                                                                                 
7079L,1,0,0,0,0,0,0,20251215,20251215                                                                                                                 
7080M,0,1,0,0,0,0,0,20251216,20251216                                                                                                                 
7081X,0,0,1,0,0,0,0,20251217,20251217                                                                                                                 
7082J,0,0,0,1,0,0,0,20251218,20251218                                                                                                                 
7083V,0,0,0,0,1,0,0,20251219,20251219                                                                                                                 
7084S,0,0,0,0,0,1,0,20251220,20251220                                                                                                                 
